user_id,product_id,rating,review_text
AFJBKPK5W56XWSNPQU2WW66ISWYQ,B08LYT4Q2X,5.0,Great set of oils that are great to use as is or when making other products. I used the coconut oil in a roller ball with some tea tree and clove oil for a rash and it works great. They are both have no scent.
AFFFV4Y35FUSSYUMRHYV4P34X2MA,B07FQG965K,2.0,Have yet to notice any change have been using this product for awhile now
AFXF3EGQTQDXMRLDWFU7UBFQZB7Q,B09GNXK3N1,4.0,"I love this shower cap. It is very attractive and the black and white colors just pop. I have short to medium-length fine curly hair and take a size small in a cap. This fits me perfectly and there is a little more room for more hair if I had it. This is comfortable and does keep my hair dry in the shower. Unfortunately, I hate the way the bow looks on me. The current price of $15.99 is on the high side of competitively priced."
AFXF3EGQTQDXMRLDWFU7UBFQZB7Q,B08PPB3W6H,2.0,"There are six (6) velvet headbands with buttons in this set. Each headband is narrow at only 8-3/4"" wide and certainly not as wide as pictured on the Amazon site. Also, there are buttons on each side of the ear area. When I attach my mask to these buttons, my face mask is no longer tight to my face because the slinky velvet material moves and does not stay in place. Overall, I do not like these at all. They will suffice as headbands only and not for mask attachment. The current price of $11.99 comes to $2 per band but I do not feel they are worth that price at all."
AFXF3EGQTQDXMRLDWFU7UBFQZB7Q,B08HMLXW65,3.0,"This is a very nice set of 6 clips, 10 hair ties, and a case. The clips are strong and do hold a generous amount of hair. I like the non-slippery feeling of the clip itself. The ties are ordinary but still functional. The reason I rated this 3 stars is because I also ordered this same set with the blue clips and tan ties. One of the clips in that order broke immediately which tells me these won't last. The current price of $7.19 is reasonable for this set but just be aware that the clips will break easily because the plastic is not that strong."
AFXF3EGQTQDXMRLDWFU7UBFQZB7Q,B081ZN3TD5,4.0,"This is a nice set of combs--one wide-tooth and one sort of fine-tooth with two regularly-spaced ones. I know others mentioned that they found the combs to be sharp on the edges when combing. The one wide-tooth comb has blunted tines but the other three have pointed tines. However, those pointed tine ones were not sharp on my scalp. I have short to medium fine curly hair and these passed through my hair easily (wet or dry) and I did not feel scratched. I actually like the points massaging my scalp because on the combs I received, they were not super sharp. Unfortunately, I cannot tell if this set is wooden as it claims. It is possible they are wooden but because they are highly polished, they feel and look like plastic. I attend craft shows and it is possible to get a plastic feel and look to wood, so unless I broke one of the combs in half (which I am unwilling to do), I cannot tell. I still think the current price of $9.99 is reasonable even they are plastic."
AFDDEXBXGKNMWIZQLH3764LUZ7BQ,B09GNXK3N1,5.0,"It’s great, feels perfect and does not permit my hair to get wet!"
AE5QIQBWPOWOLRSFTK5CXI53EGEA,B07927V3SQ,2.0,"Dry, crumbly and impossible to even get on. Smells were not my favorite. Won’t buy again."
AFTLUVGQWKW6XSQ5TB6UER5Q263A,B0924GT395,5.0,"These shiny facial massage cryo sticks chill quickly, and I love that they come packaged within a clear plastic storage case with an instruction card! You can actually hear the anti-freeze/non-toxic liquid gel floating and bobbing around inside each stainless steel spoon/orb, and I love the ergonomic shape of each tool! The brightly colored turquoise handle tips help protect my fingers from the cold, and these futuristic-looking devices sit and balance nicely on various parts of my face! They do a great job of reducing swelling, puffiness, and fluid retention, and I think they’d make an affordable and unique gift for fans of at-home, cold therapy techniques! ☃️"
AGAM2CCKV52HI4YZU7ASZTSXA7YQ,B08LYT4Q2X,5.0,"I am finding SO many uses for Shiny Leaf's coconut and sweet almond oil! I do have some experience with coconut oil but this is my first time using sweet almond oil. Thanks the labels on the bottles, reviews and internet searches, I'm finding SO many ways to use these oils...sometimes together, sometimes individually. Because I have terribly dry, sensitive skin, my main goal was to see how one or both oils could help protect my skin, especially now that winter has arrived and my skin is REALLY taking a beating. Both oils work well to hydrate and moisturize, so I mixed a few ounces of each in a mist bottle. After I bathe, I mist a combo of the oils over my skin to help hydrate and moisturize. The oils absorb quickly and do not leave an oily/greasy look OR feel to my skin. I'm already seeing a decrease in my dry skin/itchy red patches of skin. I experience NO discomfort whatsoever when misting these oils onto my sensitive skin. Both oils also work wonders on hair by moisturizing, hydrating, improving hair texture/strength, stimulate hair growth /thicken hair, and nourish the scalp to prevent dry, itchy flakes. In addition to using my combo of oils after bathing, I also give my hair a spray or two with the mister and sure enough, I'm seeing less hair in the drain and on my hairbrush after brushing. My hair is soft, smooth and shiny WITHOUT looking or feeling oily/greasy from the oil combo. I use the coconut oil (alone) to help remove makeup, under and around my eyes to soften and reduce fine lines, I rub a small amount into my scalp (as does my husband) to help stimulate hair growth, on the kid's faces after their baths to soften (especially in cold weather!), on my nail beds every couple of days and a light amount on any patches of eczema/red skin. (It relieves the itching/burning and redness from eczema quickly!) I use the sweet almond oil (alone) on dark circles under my eyes, a SMALL amount on split ends in my hair, a drop on chapped lips, I'm just starting to tinker with it for aromatherapy purposes. I recently learned that it can help fade scars so I've begun to rub some sweet almond oil into a scar on my finger to see what happens. If it helps, I'll then move on to a small facial scar I have. I'm also trying something on my own; just started doing this a few days ago. I get nosebleeds every single day, at least once a day, throughout the winter when the heat is on in the house. This started when I was 2 years old, I'm now 49 so I've experienced this my entire life. I now rub a small amount of sweet almond oil under my nostrils before bed. Since starting this, I continue to have nosebleeds. Yesterday, I had only one and it involved just a few drops of blood. I didn't whip through numerous tissues like normal. ONE tissue took care of it. (that's huge for me!) I have NO clue if its just a coincidence or if the sweet almond oil is helping in any way but I'm going to continue using it. These oils are phenomenal! Both bottles are 16oz. I love the fact that they have normal caps on them but pumps for each bottle are included as well. The liquid of each is thinner oil than I expected, which I prefer. Both absorb quickly. Neither has a scent. I've found SO many uses for these oils, I can't wait to discover more. ( I'm SO happy with these oils, I recently purchased Shiny Leaf's biotin hair conditioner and cannot wait to try it! ) I find the price to be incredibly reasonable, especially since you're getting TWO bottles of oils! HIGHLY recommended! *FYI...the mist bottle on the end in my photo is NOT included! I used one of my own mist bottles to combine both oils. You will get both bottles AND pumps that you see in my photo, NOT the mist sprayer!"
AHIFWJCLH3DZ5S6XBY7XKEKIFNMQ,B072N95X6P,5.0,100% happy thank you :-)
AEWUOTR5BLPGWHAJI24EMWJHXORA,B014JOL9MA,5.0,Love it. Gel even works on regular polish.
AF2BLE54TEMGZ546U763ZHZRXC4A,B09GNXK3N1,5.0,"An adorable shower cap that fits my large head. It says it fits up to 24"" head, and mine measures 23.5"". Then I have loads of hair- semi thick, nearly waist length. It all fits! Yet isn't a big bulbous excess of material either. But I am definitely pushing max space available (again, I have a large head). I simply dont wash my hair every day, but I do hop in the shower. I dont notice my hair getting wet at all, but I dont put my head in the water even with this on. I have a spray nozzle for washing and rinsing, so I guess I am able to control where the water reaches better. The fit is surprisingly good. The rear has an elastic portion to provide a nice fit. The spacing left over once in place is reasonable for my large head and mane of hair. I really was skeptical, but am glad I went ahead and got this. I have some cute shower caps, but none as nice as this. The little bow on top makes me feel like I went back in time to the 50s or something. Adorbs! I dont use it for keeping my hair out of face for make up or skin care, but it would certainly do well for that too. Also, if I had pool.. while it isnt a pool cap, if I just wanted something to help keep excess water off my hair while casually wading in a pool, this very well could work for that too."
AF453YWNMOPDI5XRRVQOIF56NM4Q,B094QK5NSZ,3.0,"This Havtyyise-3 set is nice. I really like the hand mitt. The holes on each side are better than the ones with no holes. This made it easier to get the soap on and keep the mitt on all at the same time. The set comes with a mitt, a handled back scrubber, and a pouf ball. The mitt is the best in the back and the back scrubber comes in second. I do not like the way the pouf ball is made and I don't see it lasting very long. It just flattens out because it is poorly made. I will be recommending this Havtyyise-3 set to family and friends but I will let everybody know about the pouf ball."
